year_month_dt,n_transações,score_medio,score_mediana,p95_risk_score,pct_moderado,pct_alto,pct_critico,pct_alto_critico,pct_ml_is_anomaly,hard_block_rate,valor_total_sinalizado,valor_medio_baixo,valor_medio_moderado,valor_medio_alto,valor_medio_critico
2025-01-01,46792.0,9.49,4.4,40.14,3.6,1.9,1.26,3.16,1.33,0.0577,2025240.55,174.7,702.52,929.35,2030.43
2025-02-01,38027.0,9.48,4.8,36.6,3.71,1.53,1.16,2.69,1.18,0.0105,1324496.56,164.51,643.67,898.22,1817.99
2025-03-01,42877.0,9.85,5.2,37.4,3.87,1.43,1.25,2.68,1.34,0.0536,1478501.52,170.01,732.95,863.41,1767.65
2025-04-01,39769.0,9.49,5.6,34.2,3.9,1.4,0.66,2.06,0.83,0.0101,1001682.97,167.39,712.54,852.9,2014.41
2025-05-01,47040.0,10.39,6.1,37.2,4.28,1.51,1.05,2.56,1.46,0.0149,1325669.34,169.07,723.86,844.61,1465.41
2025-06-01,42995.0,10.17,6.2,35.6,4.48,1.27,0.68,1.96,1.0,0.0023,1125127.1,170.17,775.59,963.8,2030.49
2025-07-01,45816.0,10.97,6.6,39.42,4.75,1.73,0.87,2.61,1.47,0.0022,1357076.75,181.47,892.32,832.57,1740.04
2025-08-01,42314.0,16.63,6.8,82.3,4.54,3.22,7.08,10.3,7.43,0.0095,1033286.36,175.34,652.76,365.48,178.68
2025-09-01,46201.0,19.15,7.1,82.3,3.93,4.62,9.45,14.07,10.21,0.0087,658408.03,162.39,502.0,143.79,80.53
2025-10-01,39817.0,9.58,5.8,33.2,3.72,1.37,0.57,1.94,0.81,0.0352,728902.17,155.75,546.42,613.24,1743.69
2025-11-01,46876.0,9.99,6.2,33.6,3.97,1.12,0.72,1.84,0.96,0.0341,1070780.53,166.82,522.16,819.79,1897.84
2025-12-01,45132.0,9.88,5.9,33.6,3.56,1.29,0.84,2.13,1.15,0.0465,1124809.47,173.26,616.2,867.22,1636.37
